Ids,number of mtDNA SNPs,coverage mtDNA,number of Ychr SNPs,coverage Ychr,state
I1876,27,6.3064X,83,0.0001X,used
I1954,23,43.7185X,503,0.0909X,used
SCH018,22,3.018X,8,0X,deleted
I1378,25,15.5529X,93,0.0002X,used
ROUQF,12,47.916X,282,0.0891X,used
I0518,30,21.6186X,16,0X,deleted
I2521,6,148.279X,513,0.0031X,used
I4064,8,120.321X,413,0.0017X,used
I0559,9,18.2051X,72,0.0054X,used
I15946,35,49.311X,234,0.0003X,used
I5359,8,67.6264X,274,0.0008X,used
I0633,9,76.9023X,326,0.0014X,used
I2440,9,37.9652X,80,0.0001X,used
HBS004,26,4.4133X,40,0X,deleted
XN171,6,2.3086X,183,0.0002X,used
I1945,23,12.7454X,133,0.0005X,used
I2026,27,2.4847X,24,0X,deleted
I2441,37,119.0527X,247,0.0005X,used
HBS005,24,2.1305X,29,0X,deleted
CHA002,29,152.9262X,58,0.0041X,deleted
I2382,24,76.9032X,13,0X,deleted
I3041,30,132.1826X,369,0.001X,used
XN191,30,22.7593X,6,0X,deleted
I4241,29,88.7386X,470,0.0518X,used
I0744,27,122.0209X,524,0.0034X,used
I5883,26,56.8336X,84,0.0001X,used
Raschoille1,24,3.8086X,352,0.0294X,used
I2630,29,79.7988X,614,0.0037X,used
I5879,23,46.4945X,50,0.0001X,deleted
PEN003,14,1.6703X,404,0.0006X,used
I2387,31,20.9237X,23,0X,deleted
WestKennet,20,6.3703X,195,0.0173X,used
CarsingtonPasture1,25,143.7782X,1128,1.2166X,used
I1882,29,20.1043X,68,0.0001X,deleted
ZKO,16,4.628X,315,0.03X,used
XN164,25,5.535X,126,0.0001X,used
I7042,6,128.0613X,461,0.0015X,used
I7042,6,128.0613X,461,0.0027X,used
I4971,26,13.4201X,158,0.0002X,used
I16166,28,10.818X,48,0.0001X,deleted
I1096,30,118.7532X,417,0.0016X,used
I1887,33,37.5801X,125,0.0002X,used
GRC021,1,2.2798X,380,0.0007X,used
GRC035,1,1.1107X,304,0.0005X,used
BG72-C-EX3,31,99.7543X,542,0.003X,used
CH448-A-EX3,7,114.8612X,615,0.0031X,used
GRC057,1,0.9839X,286,0.0004X,deleted
GRC041,17,1.5792X,255,0.0005X,used
I2743,6,2.3585X,124,0.0002X,used
I4185,20,1.3725X,14,0X,deleted
XN215,29,7.563X,11,0X,deleted
