Site,Pop,Outgroup,f3,std.err,Zscore,snps,ord,Exc,Loc
I13634_AF011,Spain_IA,Mbuti.SDG,0.087520,0.001071,81.729,338396,1,,Merovingian
I13634_AF011,France_Occitanie_IA,Mbuti.SDG,0.075675,0.001271,59.538,271804,2,,Merovingian
I13634_AF011,Denmark_IA,Mbuti.SDG,0.068398,0.001316,51.989,267561,3,,Merovingian
I13634_AF011,England_EastYorkshire_MIA,Mbuti.SDG,0.032414,0.000997,32.502,288493,4,,Merovingian
I13634_AF011,England_EastYorkshire_MIA_LIA,Mbuti.SDG,0.030648,0.000819,37.415,348225,5,,Merovingian
I13634_AF011,England_EastYorkshire_LIA,Mbuti.SDG,0.030134,0.001020,29.536,277866,6,,Merovingian
I13634_AF011,England_LIA,Mbuti.SDG,0.025235,0.000824,30.621,332476,7,,Merovingian
I13634_AF011,England_MIA,Mbuti.SDG,0.023392,0.000725,32.266,375504,8,,Merovingian
I13634_AF011,England_MIA_LIA,Mbuti.SDG,0.021546,0.000772,27.916,356955,9,,Merovingian
I13634_AF011,France_GrandEst_IA2,Mbuti.SDG,0.020727,0.000889,23.305,309143,10,,Merovingian
I13634_AF011,France_SouthEast_IA2,Mbuti.SDG,0.020307,0.000969,20.953,277484,11,,Merovingian
I13634_AF011,Scotland_MIA_LIA,Mbuti.SDG,0.013995,0.001056,13.250,261525,12,,Merovingian
I13634_AF011,Spain_LIA,Mbuti.SDG,0.013516,0.001074,12.581,262530,13,,Merovingian
I13634_AF011,Scotland_LIA,Mbuti.SDG,0.013230,0.000834,15.869,311356,14,,Merovingian
I13634_AF011,Scotland_MIA,Mbuti.SDG,0.012988,0.001140,11.388,237803,15,,Merovingian
I13634_AF011,Scotland_EIA,Mbuti.SDG,0.010789,0.001333,8.096,201786,16,,Merovingian
