O,X,A,B,D,SD,Z,BABA,ABBA,SNP,Zcat,Exc
Mbuti.SDG,I13634_AF011,protoMerovingian,Hatherdene_AS_Camb,-0.0178,0.003144,-5.648,16057,16637,325608,A,
Mbuti.SDG,I13634_AF011,protoMerovingian,Ely_AS_Camb,-0.0179,0.003611,-4.970,15241,15798,309274,A,
Mbuti.SDG,I13634_AF011,protoMerovingian,Eastry_AS_Kent,-0.0265,0.003743,-7.079,14501,15290,295186,A,
Mbuti.SDG,I13634_AF011,protoMerovingian,Polhill_AS_Kent,-0.0285,0.003518,-8.089,15405,16307,313842,A,
Mbuti.SDG,I13634_AF011,protoMerovingian,France_Medieval,-0.0414,0.005745,-7.209,8209,8918,168713,A,
Mbuti.SDG,I13634_AF011,protoMerovingian,Norfolk_AS_Anglia,-0.0444,0.003139,-14.140,15905,17382,326863,A,
Mbuti.SDG,I13634_AF011,protoMerovingian,Suffolk_AS_Anglia,-0.0500,0.003314,-15.082,15655,17302,324250,A,
Mbuti.SDG,I13634_AF011,protoMerovingian,Germany_LSaxony_Hidderstorf,-0.0552,0.003518,-15.691,14656,16368,303057,A,
Mbuti.SDG,I13634_AF011,protoMerovingian,Germany_LSaxony_Drantum,-0.0555,0.003373,-16.463,15632,17470,322678,A,
Mbuti.SDG,I13634_AF011,protoMerovingian,Germany_LSaxony_Issendorf,-0.0556,0.005452,-10.191,8292,9268,172019,A,
Mbuti.SDG,I13634_AF011,protoMerovingian,Germany_NRhine_AltInden,-0.0576,0.003129,-18.399,15692,17609,325141,A,
Mbuti.SDG,I13634_AF011,protoMerovingian,Germany_LSaxony_Liebenau,-0.0580,0.004695,-12.345,11096,12462,231726,A,
Mbuti.SDG,I13634_AF011,protoMerovingian,AS_Netherlands_Freis_Midlum,-0.0745,0.003717,-20.056,14645,17004,306594,A,
Mbuti.SDG,I13634_AF011,protoMerovingian,AS_Sussex,0.0101,0.003376,3.004,15884,15565,314987,B,
Mbuti.SDG,I13634_AF011,protoMerovingian,Oakington_AS_Camb,0.0265,0.002953,8.972,17097,16214,330072,B,
Mbuti.SDG,I13634_AF011,protoMerovingian,Germany_EMA_Alemanic,0.1086,0.003501,31.024,18026,14494,312124,B,
Mbuti.SDG,I13634_AF011,protoMerovingian,Spain_Visigoth,0.1723,0.003573,48.219,19704,13912,314554,B,
Mbuti.SDG,I13634_AF011,protoMerovingian,EMA_Bavaria_Str,0.1724,0.003365,51.232,20248,14293,323501,B,
Mbuti.SDG,I13634_AF011,protoMerovingian,EMA_Bavaria_Alh,0.1743,0.003894,44.758,17679,12432,280892,B,
Mbuti.SDG,I13634_AF011,protoMerovingian,EMA_Bavaria_AED,0.1746,0.003601,48.502,19755,13880,314710,B,
Mbuti.SDG,I13634_AF011,protoMerovingian,Hinxton_AS_Camb,0.2386,0.004370,54.607,17846,10969,262954,B,
