O,X,A,B,D,SD,Z,BABA,ABBA,SNP,Zcat,Exc
Mbuti.SDG,PJ001,protoMerovingian,AS_Yorkshire,-0.0300,0.002497,-12.014,19339,20535,394565,,
Mbuti.SDG,PJ001,protoMerovingian,AS_Dorset,-0.0310,0.002704,-11.453,19320,20554,393638,,
Mbuti.SDG,PJ001,protoMerovingian,AS_Sussex,-0.0381,0.003128,-12.179,18432,19892,377273,,
Mbuti.SDG,PJ001,protoMerovingian,Germany_EMA_Alemanic,-0.0401,0.003141,-12.761,17984,19486,369174,,
Mbuti.SDG,PJ001,protoMerovingian,EMA_Bavaria_AED,-0.0424,0.003183,-13.334,17943,19534,371894,,
Mbuti.SDG,PJ001,protoMerovingian,EMA_Bavaria_Alh,-0.0445,0.003536,-12.582,16002,17492,331513,,
Mbuti.SDG,PJ001,protoMerovingian,Spain_Visigoth,-0.0457,0.003101,-14.730,17933,19650,372272,,
Mbuti.SDG,PJ001,protoMerovingian,Oakington_AS_Camb,-0.0467,0.002486,-18.771,19198,21078,394496,,
Mbuti.SDG,PJ001,protoMerovingian,EMA_Bavaria_Str,-0.0469,0.003000,-15.630,18494,20314,384014,,
Mbuti.SDG,PJ001,protoMerovingian,Hinxton_AS_Camb,-0.0483,0.003761,-12.837,14648,16134,305459,,
Mbuti.SDG,PJ001,protoMerovingian,Ely_AS_Camb,-0.0597,0.002993,-19.939,17975,20257,371009,,
Mbuti.SDG,PJ001,protoMerovingian,Hatherdene_AS_Camb,-0.0615,0.002680,-22.941,18808,21272,388883,,
Mbuti.SDG,PJ001,protoMerovingian,Eastry_AS_Kent,-0.0739,0.003315,-22.286,16951,19656,354578,,
Mbuti.SDG,PJ001,protoMerovingian,Polhill_AS_Kent,-0.0771,0.002889,-26.703,17953,20955,375953,,
Mbuti.SDG,PJ001,protoMerovingian,Suffolk_AS_Anglia,-0.0989,0.002674,-36.975,18234,22235,388104,,
Mbuti.SDG,PJ001,protoMerovingian,Norfolk_AS_Anglia,-0.1006,0.002660,-37.828,18373,22484,390741,,
Mbuti.SDG,PJ001,protoMerovingian,Germany_LSaxony_Issendorf,-0.1020,0.005125,-19.896,9746,11960,206684,,
Mbuti.SDG,PJ001,protoMerovingian,Germany_LSaxony_Drantum,-0.1038,0.002797,-37.121,18081,22271,385563,,
Mbuti.SDG,PJ001,protoMerovingian,France_Medieval,-0.1041,0.004963,-20.974,9684,11935,207812,,
Mbuti.SDG,PJ001,protoMerovingian,Germany_LSaxony_Liebenau,-0.1063,0.004087,-26.007,12982,16070,278634,,
Mbuti.SDG,PJ001,protoMerovingian,Germany_LSaxony_Hidderstorf,-0.1073,0.003208,-33.460,16915,20984,362562,,
Mbuti.SDG,PJ001,protoMerovingian,Germany_NRhine_AltInden,-0.1110,0.002722,-40.787,18068,22581,388502,,
Mbuti.SDG,PJ001,protoMerovingian,AS_Netherlands_Freis_Midlum,-0.1275,0.003122,-40.839,16808,21721,366795,,
