O,X,A,B,D,SD,Z,BABA,ABBA,SNP,Zcat,Exc
Mbuti.SDG,PJ004,protoMerovingian,PJ001,-0.0279,0.004778,-5.843,12053,12746,249335,,
Mbuti.SDG,PJ004,protoMerovingian,I13634_AF011,-0.0447,0.005330,-8.384,9524,10415,195712,,
Mbuti.SDG,PJ004,protoMerovingian,AS_Dorset,-0.0462,0.002720,-16.989,18989,20829,388091,,
Mbuti.SDG,PJ004,protoMerovingian,AS_Yorkshire,-0.0468,0.002678,-17.489,19011,20880,389008,,
Mbuti.SDG,PJ004,protoMerovingian,AS_Sussex,-0.0540,0.003174,-17.015,18042,20101,371449,,
Mbuti.SDG,PJ004,protoMerovingian,EMA_Bavaria_AED,-0.0587,0.003266,-17.964,17671,19874,366610,,
Mbuti.SDG,PJ004,protoMerovingian,EMA_Bavaria_Alh,-0.0594,0.003723,-15.948,15658,17634,324976,,
Mbuti.SDG,PJ004,protoMerovingian,Germany_EMA_Alemanic,-0.0596,0.003333,-17.893,17587,19817,364552,,
Mbuti.SDG,PJ004,protoMerovingian,Spain_Medieval,-0.0600,0.003491,-17.180,16661,18787,347468,,
Mbuti.SDG,PJ004,protoMerovingian,Spain_Visigoth,-0.0601,0.003290,-18.269,17634,19889,367287,,
Mbuti.SDG,PJ004,protoMerovingian,EMA_Bavaria_Str,-0.0602,0.003124,-19.268,18247,20585,378871,,
Mbuti.SDG,PJ004,protoMerovingian,Ireland_Viking,-0.0635,0.003619,-17.543,15992,18161,329317,,
Mbuti.SDG,PJ004,protoMerovingian,England_Viking,-0.0643,0.002855,-22.515,18714,21285,387232,,
Mbuti.SDG,PJ004,protoMerovingian,Denmark_EarlyViking,-0.0649,0.003429,-18.917,17605,20047,364439,,
Mbuti.SDG,PJ004,protoMerovingian,Oakington_AS_Camb,-0.0657,0.002666,-24.643,18781,21422,388908,,
Mbuti.SDG,PJ004,protoMerovingian,Hinxton_AS_Camb,-0.0659,0.004017,-16.404,14274,16288,299407,,
Mbuti.SDG,PJ004,protoMerovingian,Scotland_Viking,-0.0663,0.003251,-20.406,17404,19877,361307,,
Mbuti.SDG,PJ004,protoMerovingian,Denmark_Viking,-0.0668,0.002767,-24.160,18771,21460,388742,,
Mbuti.SDG,PJ004,protoMerovingian,AS_Denmark_Copenhagen,-0.0788,0.002864,-27.518,18353,21493,381160,,
Mbuti.SDG,PJ004,protoMerovingian,Ely_AS_Camb,-0.0817,0.003128,-26.124,17426,20528,364641,,
Mbuti.SDG,PJ004,protoMerovingian,Hatherdene_AS_Camb,-0.0829,0.002765,-29.972,18372,21692,383545,,
Mbuti.SDG,PJ004,protoMerovingian,Eastry_AS_Kent,-0.0929,0.003385,-27.454,16568,19963,348705,,
Mbuti.SDG,PJ004,protoMerovingian,Polhill_AS_Kent,-0.1000,0.003103,-32.216,17518,21409,371122,,
Mbuti.SDG,PJ004,protoMerovingian,France_Medieval,-0.1117,0.005175,-21.589,9416,11784,201285,,
Mbuti.SDG,PJ004,protoMerovingian,Norfolk_AS_Anglia,-0.1178,0.002777,-42.416,18009,22817,384998,,
Mbuti.SDG,PJ004,protoMerovingian,Germany_LSaxony_Drantum,-0.1190,0.002906,-40.927,17812,22621,380206,,
Mbuti.SDG,PJ004,protoMerovingian,Germany_LSaxony_Anderten,-0.1192,0.002806,-42.468,17904,22748,382862,,
Mbuti.SDG,PJ004,protoMerovingian,Suffolk_AS_Anglia,-0.1195,0.002912,-41.042,17824,22663,382351,,
Mbuti.SDG,PJ004,protoMerovingian,Germany_LSaxony_Dunum,-0.1237,0.002999,-41.263,17573,22536,377045,,
Mbuti.SDG,PJ004,protoMerovingian,Germany_LSaxony_Hidderstorf,-0.1244,0.003216,-38.692,16604,21323,356469,,
Mbuti.SDG,PJ004,protoMerovingian,Germany_LSaxony_Liebenau,-0.1262,0.004221,-29.912,12814,16516,276022,,
Mbuti.SDG,PJ004,protoMerovingian,Germany_LSaxony_Issendorf,-0.1268,0.005048,-25.120,9597,12385,204747,,
Mbuti.SDG,PJ004,protoMerovingian,Germany_LSaxony_Schortens,-0.1276,0.003726,-34.250,14633,18913,314448,,
Mbuti.SDG,PJ004,protoMerovingian,Germany_NRhine_AltInden,-0.1279,0.002820,-45.344,17799,23019,383258,,
Mbuti.SDG,PJ004,protoMerovingian,Germany_LSaxony_Zetel,-0.1294,0.005084,-25.448,9384,12173,201993,,
Mbuti.SDG,PJ004,protoMerovingian,Germany_Schleswig,-0.1315,0.002911,-45.178,17677,23032,381640,,
Mbuti.SDG,PJ004,protoMerovingian,AS_Netherlands_Freis_Midlum,-0.1437,0.003219,-44.652,16642,22229,362690,,
Mbuti.SDG,PJ004,protoMerovingian,Ireland_Roscommon_Kilteasheen,-0.1458,0.002697,-54.065,17799,23876,388451,,
Mbuti.SDG,PJ004,protoMerovingian,AS_Nehterlands_Groningen,-0.1507,0.002870,-52.512,17563,23796,385502,,
